doc_id,0,1,2,3,4,5,6,7,8,9
0,0.06203120611562429,0.1356400675187654,0.04575487602900371,0.07282104111741636,0.045064366081335724,0.35929772265552123,0.057525942556995384,0.06264753735530182,0.08629650145991756,0.07292073911011855
1,0.06305230516200389,0.10483495595691031,0.08862164431536801,0.0881764010270229,0.21293016609391302,0.08784953325263337,0.06843377275487673,0.0864992525541259,0.07843137254873668,0.12117059633440927
2,0.12912480404634502,0.090854353836077,0.08392418433630952,0.10545660168122216,0.09424863115899372,0.0569829280370836,0.12411782094776591,0.08624294852626278,0.14131480525881956,0.08773292217112076
3,0.20748050548334457,0.058590189426096485,0.11720828355325201,0.05535251131213333,0.07929695345914038,0.06284642319029368,0.05320795054316367,0.04395513364116531,0.048645386358740036,0.2734166630326706
4,0.08796857616786367,0.07313241720122605,0.0843365963750033,0.07664846700199421,0.06803809365521342,0.12671851092092518,0.22023757353708898,0.05779117742837805,0.1175235578420129,0.08760502987029418
5,0.05731402655902149,0.054154293058991644,0.08690480783167644,0.27851318592122,0.06535012634844392,0.08119120260770593,0.14072293289387186,0.10012612504584686,0.08057663268734558,0.05514666704587622
6,0.11111357281009142,0.09656611001347375,0.06393185089856458,0.07016123349865527,0.11335854721095308,0.03532657946846751,0.07216975992824391,0.26811038763570105,0.042420743792045905,0.12684121474380353
7,0.07158877755240065,0.07261892790285873,0.0741974128090688,0.21308939215427125,0.052468355137302754,0.07192926864034946,0.0932120840575886,0.09896572791763882,0.05924555024646464,0.19268450358205624
8,0.06864546750041507,0.07920992981914252,0.05421047738134907,0.2282464483079666,0.04900849467675727,0.17180895665497903,0.06238441360507515,0.11958030165534868,0.11239420190889628,0.0545113084900704
9,0.07974659735365376,0.09097377443922655,0.05296125607309332,0.1170251549792539,0.09362637383312254,0.2004914024045285,0.0742635050343279,0.10860552960042477,0.0753219405444353,0.10698446573793338
10,0.1453063537441547,0.07053641900930054,0.05112709151856169,0.3711594878318418,0.06740010786812631,0.06736044037504442,0.07758545637827678,0.052609202287569566,0.048515176846730096,0.04840026414039426
