ne_study_id,0,1,2,3,4,5,6,7,8,9
0,0.10503938800805347,0.06549066478612027,0.0984294255268515,0.07246215853130784,0.05829874607929462,0.09734388713123854,0.15487704622183243,0.10432678615698479,0.1040906142326079,0.1396412833257086
1,0.22718313271902216,0.10768721109553957,0.08888213436409025,0.09973813024848865,0.05940594059399479,0.06319309335498817,0.1015885715060095,0.084592409428536,0.07876488835709462,0.08896448833223632
2,0.10301046599141678,0.09391996187494744,0.07685629701232134,0.11314571976352007,0.06371140155899283,0.08958701229354774,0.17276815511006857,0.08400266082656102,0.09552275095713773,0.10747557461148649
3,0.11953855524844886,0.0781025870937735,0.18092792500112184,0.049407044715666426,0.049482287574047566,0.05307595868800197,0.2833009533585501,0.06709265563022455,0.06066950198355946,0.05840253070660572
4,0.13374494618030178,0.0822709837223328,0.08655951410463303,0.08483734855425885,0.09448362353570945,0.06735440826270835,0.1624420048242916,0.09305805292445951,0.1154993807925049,0.07974973709879978
5,0.12620534218957277,0.08903007054697036,0.09130063630566991,0.12357931736873151,0.053230732821583304,0.0730669881089274,0.13589060864679464,0.13433286290408447,0.10557316787804528,0.06779027322962035
6,0.141141707764239,0.0702057001131353,0.10880687690894295,0.12095623920353994,0.07064146927124891,0.08988178183620858,0.09482776548341235,0.11676270795244571,0.08783392404932447,0.09894182741750286
7,0.07253557697734331,0.06606902252350437,0.0817890434139129,0.07905567739171573,0.07496191646355838,0.08338509842020712,0.07238818097685765,0.1359295456262224,0.2143377961850318,0.11954814202164638
8,0.11715281662766688,0.0739792220625526,0.1277001457821525,0.07983111584884038,0.06384032469782296,0.09935298581568698,0.12203349089472205,0.08903914191239909,0.10540846345153757,0.12166229290661887
9,0.0891605194030619,0.07596810133561362,0.07805489691050602,0.04698295032042186,0.10218269827623623,0.12061614214864606,0.12465189134228767,0.13310580906464198,0.13428667618731446,0.09499031501127023
10,0.07975333008829927,0.1299416426906367,0.06395141623940112,0.09691431271979174,0.18042790147733215,0.10835797513124032,0.09736285606881995,0.11178324271444834,0.057378984157302394,0.07412833871272798
11,0.1128115335802364,0.09469452995031537,0.08001250847833496,0.06974240355258395,0.0827047620966915,0.09267823706664234,0.21407788361632585,0.11253637543721419,0.07210389491460743,0.06863787130704818
12,0.07381901597730321,0.08604834524163146,0.0834753011295512,0.07307631124470902,0.053763440860262655,0.08683841215140854,0.19422623171418174,0.15940266827597435,0.10762581758846332,0.08172445581651452
13,0.20779469550847607,0.06204283577511612,0.07401815901117484,0.17881718579935407,0.0600000000000741,0.05612765688633253,0.06545780029727598,0.10871413095507867,0.09269188822410887,0.09433564754300869
14,0.12677611378940457,0.07042253521135847,0.12165209260582602,0.07042253521135847,0.07788146696292562,0.07042253521135847,0.08229192961779695,0.08450704225321957,0.20314480604545848,0.09247894309129341
15,0.12571159349251987,0.09572670780044663,0.08566599161273311,0.09285239209004191,0.054868129614210746,0.12520731591337134,0.170081659120582,0.09203157440350493,0.07086073059525612,0.08699390535733335
16,0.32198460141332663,0.07369676445386454,0.07740400413560514,0.09264625545020648,0.054768160042760666,0.10354080423187374,0.03950719018991969,0.07504058849955679,0.08527117679790722,0.07614045478497913
